Week_No,Heading,LectureName,Lecture link
Week 3,Capacitance and Inductance,L24RL Transient Analysis,https://hello.iitk.ac.in/esc201a21/#/lecture/151
Week 3,Capacitance and Inductance,L23bCharging C with V source through R,https://hello.iitk.ac.in/esc201a21/#/lecture/150
Week 3,Capacitance and Inductance,L23aDischarging C thorugh R,https://hello.iitk.ac.in/esc201a21/#/lecture/149
Week 3,Capacitance and Inductance,L21cGeneral Points on C and L,https://hello.iitk.ac.in/esc201a21/#/lecture/130
Week 3,Capacitance and Inductance,L22DC ckt switching  initial and final values,https://hello.iitk.ac.in/esc201a21/#/lecture/145
Week 3,Capacitance and Inductance,L21bInductor and Inductance,https://hello.iitk.ac.in/esc201a21/#/lecture/129
Week 3,Capacitance and Inductance,L21aCapacitor and Capacitance,https://hello.iitk.ac.in/esc201a21/#/lecture/128
Week 3,Capacitance and Inductance,L20Passive Components,https://hello.iitk.ac.in/esc201a21/#/lecture/126
Week 2,Basics,L113Power Transfer in DC Circuits,https://hello.iitk.ac.in/esc201a21/#/lecture/101
Week 2,Basics,L112Superposition,https://hello.iitk.ac.in/esc201a21/#/lecture/100
Week 2,Basics,L111bNorton Equivalent Circuit,https://hello.iitk.ac.in/esc201a21/#/lecture/99
Week 2,Basics,L111aThvenin  Equivalent Circuit,https://hello.iitk.ac.in/esc201a21/#/lecture/97
Week 2,Basics,L110cSuper Node and Super Mesh,https://hello.iitk.ac.in/esc201a21/#/lecture/96
Week 2,Basics,L110bMesh Analysis,https://hello.iitk.ac.in/esc201a21/#/lecture/91
Week 2,Basics,L110aNode Analysis,https://hello.iitk.ac.in/esc201a21/#/lecture/90
Week 2,Basics,L19Voltage and Current Divider Circuits,https://hello.iitk.ac.in/esc201a21/#/lecture/84
Week 2,Basics,L18Equivalent Circuits with Resistors,https://hello.iitk.ac.in/esc201a21/#/lecture/83
Week 2,Basics,L17Dependent Sources,https://hello.iitk.ac.in/esc201a21/#/lecture/82
Week 1,Basics,L113Power Transfer in DC Circuits,https://hello.iitk.ac.in/esc201a21/#/lecture/101
Week 1,Basics,L112Superposition,https://hello.iitk.ac.in/esc201a21/#/lecture/100
