Week_No,Heading,LectureName,Lecture link
Week 5,Differential Analysis Continuity  Equation and stream function,Lecture15,https://hello.iitk.ac.in/eso204a21/#/lecture/69
Week 5,General Energy Equation,Lecture14,https://hello.iitk.ac.in/eso204a21/#/lecture/68
Week 5,General Energy Equation,Lecture13,https://hello.iitk.ac.in/eso204a21/#/lecture/67
Week 4,Bernoulli equation and its application,Lecture12,https://hello.iitk.ac.in/eso204a21/#/lecture/65
Week 4,Momentum Conservation and Bernoulli Equation,Lecture11,https://hello.iitk.ac.in/eso204a21/#/lecture/50
Week 4,Mass conservation and Reynolds Transport Theorem,Lecture10,https://hello.iitk.ac.in/eso204a21/#/lecture/49
Week 3,Reynolds Transport Theorem,Lecture09,https://hello.iitk.ac.in/eso204a21/#/lecture/42
Week 3,Fluid Kinematics vorticity and strain rate tensor,Lecture08,https://hello.iitk.ac.in/eso204a21/#/lecture/41
Week 3,Fluid Kinematics,Lecture07,https://hello.iitk.ac.in/eso204a21/#/lecture/19
Week 2,Fluid Kinematics,Lecture07,https://hello.iitk.ac.in/eso204a21/#/lecture/19
Week 2,Fluid Statics,Lecture05,https://hello.iitk.ac.in/eso204a21/#/lecture/11
Week 2,Pressure,Lecture04,https://hello.iitk.ac.in/eso204a21/#/lecture/10
Week 1,Some important properties,Lecture03,https://hello.iitk.ac.in/eso204a21/#/lecture/8
Week 1,Some important properties,Lecture02,https://hello.iitk.ac.in/eso204a21/#/lecture/7
Week 1,What is Fluid,Lecture01,https://hello.iitk.ac.in/eso204a21/#/lecture/6
